Barrier ID,Site Name,Watershed Name,Crossing Type,Assessment Type Completed,Next Steps,Reason,Notes,Supporting Links
198044,Trib to Toboggan Cr @ Railway (198044),BULK,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,No crossing present at this location but should be given the water upstream. Historic Coho point upstream. Needs further assessment and discussion with railway owner to determine status of crossing.,Stream upstream of railway appears to be ephemeral and follows ditch a short ways before dissipating into shrubs.,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/appendix---phase-1-fish-passage-assessment-data-and-photos.html#
198048,Cesford Cr @ Hwy 15 (198048),BULK,Stream crossing - CBS,Habitat confirmation,In-depth passage assessment (data deficient structures only),Fish observed upstream. Monitor for fish passage once downstream railway crossing addressed,Two culverts,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/cesford-creek---198048-198049---appendix.html
198065,Watson Cr @ Montgomery Rd (198065),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),very low flow but channel mostly watered during assessment. Historic Coho point upstream,Abundant gravels and excellent vegetation cover.,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/appendix---phase-1-fish-passage-assessment-data-and-photos.html
198090,Cesford Cr @ Raiway (198090),BULK,Other,Informal assessment,Engage with barrier owner,Crossing could not be located in field. Need to determine location and status with barrier owner,,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/cesford-creek---198048-198049---appendix.html
199450,Trib to Klo Cr @ Equity Mine FSR (199450),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Industry barrier with confirmed Rainbow Trout presence. See supporting link. Habitat confirmation to determine salmon values.,,https://a100.gov.bc.ca/pub/acat/documents/r582/i028_1067978004519_acaaee50271c4783b64bcd3f79b0e3af.pdf 
199452,Taman Cr @ Taman Cr FSR (199452),BULK,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,Industry barrier with confirmed Rainbow Trout presence. See supporting link.,,https://a100.gov.bc.ca/pub/acat/documents/r13641/SM07-35801_1209485671609_8e248a8d30d9584b1b8916e14f14aee0caac657ee227.pdf
199454,Trib to Conrad Lk @ Conrad Lk FSR (199454),BULK,Stream crossing - CBS,Barrier assessment,Engage in public consultation,No modeled habitat but Rainbow Trout confirmed at crossing (see supporting link). Industry barrier.,,https://a100.gov.bc.ca/pub/acat/documents/r13641/SM07-35801_1209485671609_8e248a8d30d9584b1b8916e14f14aee0caac657ee227.pdf
199455,Trib to Old Woman Cr @ Conrad Lk FSR (199455),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),,"Small stream, Rainbow Trout confirmed to crossing and farther upstream. Industry barrier but salmon habitat values unclear.",
199457,Glass Cr @ Private (199457),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Coho confirmed a short distance downstream of crossing,"From satellite imagery, road may cut off main channel and be diverted to ditch at this location.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200817
199458,Glass Cr @ Private (199458),BULK,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Coho confirmed a short distance downstream,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200818
