Goal # ,Goal 
1 ,"By 2031, the percent (%) of total linear spawning habitat connected for anadromous salmonids will increase from 86% to 95% within the Bulkley River watershed (i.e., reconnect at least 115 km of spawning habitat). "
2 ,"By 2031, the percent (%) of total linear rearing habitat connected for anadromous salmonids will increase from 70% to 80% within the Bulkley River watershed (i.e., reconnect at least 223 km of rearing habitat). "
