Conservation Unit ,Biological Status ,Run timing ,Trend in spawner abundance (all available data) ,Trend in spawner abundance (last 3 generations) 
Middle Skeena – Mainstem Tributaries ,Fair ,July -September ,-44.9% ,-7.5% 
Upper Bulkley River ,Data Deficient ,May - July ,541.6% ,8.3% 
