Barrier ID,Site Name,Watershed Name,Crossing Type,Assessment Type Completed,Next Steps,Reason,Notes,Supporting Links
123375,Trib to Thompson Cr @ Hwy 16 (123375),BULK,Stream crossing - CBS,Habitat confirmation,Non-actionable,Crossing is upstream of major tributary with limited flows and poor substrates/habitat quality lacking suitable rearing and spawning habitat. Farther upstream from farm is medium quality habitat but short habitat gain.,,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/thompson-creek---198066-123377-123375---appendix.html
123446,,BULK,Stream crossing - CBS,Habitat confirmation,Leave until end of lifecycle,Scores as barrier but likely passable to most fish species and life stages. Channel has become heavily ingrown with canary reedgrass and needs restoration before addressing this crossing. Reassess once downstream crossing and habitat issues have been addresesd,,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---123445-123446---tyhee-creek.html
123544,,BULK,Stream crossing - CBS,Habitat confirmation,Non-actionable,Low quality habitat and dry stream for most of the year. Confirmed by OW to be low priority due to low quality habitat,Poorly constructed/maintained road with rip rap directly obstructing  culvert. ,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/mcdowell-creek---123544-58151---appendix.html
123775,Witset Cr @ Hwy 16 (123775),BULK,Stream crossing - CBS,Habitat confirmation,Non-actionable,"Lacks habitat upstream due to very low flows, beaver control activity to prevent flooding of downstream properties ongoing. ",Potential for BDA work,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/corya-creek---197960---appendix.html
124501,,BULK,Stream crossing - CBS,Habitat confirmation,Leave until end of lifecycle,Scores as barrier but expected to be passable to most fish species and life stages at most flows. Recommend leaving to end of life cycle.,,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197667-124501---moan-creek.html
197667,,BULK,Stream crossing - CBS,Habitat confirmation,Non-actionable,"High quality habitat, approx 650 m of potential Coho and steelhead key habitat upstream. ",,https://www.newgraphenvironment.com/fish_passage_bulkley_2020_reporting/appendix---197667-124501---moan-creek.html
57944,Toboggan Cr @ Hwy 16 (57944),BULK,Stream crossing - CBS,Habitat confirmation,Leave until end of lifecycle,Past backwatering work conducted. Pink Salmon present at fences upstream.,High quality habitat with moderate cover. Monitor for continued passage functionality; aim for replacement at end of culvert life.,https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/toboggan-creek---57944---appendix.html
58151,,BULK,Stream crossing - CBS,Habitat confirmation,Leave until end of lifecycle,Low quality habitat. Consider deferring to end of life cycle,"Water over allocation issues in stream, signs of sedimentation from adjacent land uses. Dewatered at time of survey",https://www.newgraphenvironment.com/fish_passage_skeena_2021_reporting/mcdowell-creek---123544-58151---appendix.html
