Conservation Unit ,Biological Status ,Run timing ,Trend in spawner abundance (all available data) ,Trend in spawner abundance (last 3 generations) 
Bulkley/Maxan (Lake type) ,Data Deficient ,June - September ,Data Deficient ,Data Deficient 
Skeena River (River-type) ,Data Deficient ,Data Deficient ,Data Deficient ,Data Deficient 
