ID,Actions,Details,Feasibility,Impact,Effectiveness
2.1,Work with forestry licensees to improve their aquatic connectivity practices,This should include encouraging better consultation before crossings are installed in the first place.,High,Medium,Need more information
2.2,Monitor new crossing installation compliance with regulations regarding fish passage,This action could be directly tied to action 3.3 - First Nations guardianship program.,Medium,Medium,Need more information
