ID,Actions,Details,Feasibility,Impact,Effectiveness
3.1,Develop a First Nations Youth Mentorship capacity-building program,"The program should emphasize: (1) working with First Nations youth, with emphasis on females, to help build capacity around waterway management, and (2) two-way mentorship to strengthen relationships and knowledge sharing with non-Indigenous youth (e.g., sharing knowledge on the importance of the land and thewatershed according toAyook,Adaakw, InukNu'at'en, andYintah.",High,Very high,Effective
3.2,Engage withWilp/Yikhfor work to occur in their territory,"Obtain permission from the appropriateWilp/Yihkbefore conducting any work, including barrier assessments, habitat confirmations, and rehabilitation work.",Very high,High,Effective
3.3,First Nations guardianship program tomonitorfish passage in the watershed,,Very high,High,Effective
3.4,Knowledge Gap:Identifytraditional use areas to help inform where to improve connectivity,"Used as decision support to choose which projects toproceedwith. This information is proprietary, can only be used with permission, and should not be communicated externally. Proper protocols will be followed to ensure this knowledge and information is protected by the knowledge holders.",Very high,Very high,Very effective
